pagi,siang,malam,jumlah_pagi,jumlah_siang,jumlah_malam
1,11,4,1,1,1
12,6,10,1,1,1
1,9,3,1,1,1
5,13,7,1,1,1
8,2,5,1,1,1
9,2,8,1,1,1
12,6,3,1,1,1
